"Pais","Sigla","Clima_Predominante","Municipio","Codigo ibge Municipio","tipo de solo predominante","semente_ideal_solo","ph_min_solo","ph_max_solo","Desc","Espaçamento Min (cm) entre mudas","Espaçamento Max (cm)","Tempo de Crescimento (dias)","Umidade Ideal (%)","Despesa","Lucro","qtdProduzidaPé","Estação","Valor entre 0 e 1"
"Brasil","AC","Equatorial","Xapuri","1200708","Latossolo Vermelho-Amarelo ","Banana","4.6","6.2","A semente de banana (Musa spp.) é usada para cultivar plantas tropicais que produzem cachos de frutos doces e ricos em potássio. As bananas são consumidas frescas e são uma importante fonte de energia.","250","350","9-12 meses","60-70","13.00","0.66","179","Verão","39"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Tamarindo","4.5","6.1","A semente de tamarindo (Tamarindus indica) é usada para cultivar árvores que produzem vagens com polpa ácida e doce. O tamarindo é amplamente usado em culinária e também é transformado em pasta para uso culinário.","300","400","5-8 anos","60-80","120.00","0.90","200","Inverno","40"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Tamarindo","4.5","6.1","A semente de tamarindo (Tamarindus indica) é usada para cultivar árvores que produzem vagens com polpa ácida e doce. O tamarindo é amplamente usado em culinária e também é transformado em pasta para uso culinário.","300","400","5-8 anos","60-80","120.00","0.90","200","Inverno","41"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Tamarindo","4.5","6.1","A semente de tamarindo (Tamarindus indica) é usada para cultivar árvores que produzem vagens com polpa ácida e doce. O tamarindo é amplamente usado em culinária e também é transformado em pasta para uso culinário.","300","400","5-8 anos","60-80","120.00","0.90","200","Inverno","42"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Tamarindo","4.5","6.1","A semente de tamarindo (Tamarindus indica) é usada para cultivar árvores que produzem vagens com polpa ácida e doce. O tamarindo é amplamente usado em culinária e também é transformado em pasta para uso culinário.","300","400","5-8 anos","60-80","120.00","0.90","200","Inverno","43"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Tamarindo","4.5","6.1","A semente de tamarindo (Tamarindus indica) é usada para cultivar árvores que produzem vagens com polpa ácida e doce. O tamarindo é amplamente usado em culinária e também é transformado em pasta para uso culinário.","300","400","5-8 anos","60-80","120.00","0.90","200","Inverno","44"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Tamarindo","4.5","6.1","A semente de tamarindo (Tamarindus indica) é usada para cultivar árvores que produzem vagens com polpa ácida e doce. O tamarindo é amplamente usado em culinária e também é transformado em pasta para uso culinário.","300","400","5-8 anos","60-80","120.00","0.90","200","Inverno","45"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Mamão","4.5","6.1","A semente de mamão (Carica papaya) é usada para cultivar árvores que produzem frutos grandes e suculentos. O mamão é valorizado por seu sabor doce e suas enzimas digestivas.","200","300","6-9 meses (para frutificação)","70-80","27","6.00","4","Outono","46"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Mamão","4.5","6.1","A semente de mamão (Carica papaya) é usada para cultivar árvores que produzem frutos grandes e suculentos. O mamão é valorizado por seu sabor doce e suas enzimas digestivas.","200","300","6-9 meses (para frutificação)","70-80","27","6.00","4","Outono","47"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Mamão","4.5","6.1","A semente de mamão (Carica papaya) é usada para cultivar árvores que produzem frutos grandes e suculentos. O mamão é valorizado por seu sabor doce e suas enzimas digestivas.","200","300","6-9 meses (para frutificação)","70-80","27","6.00","4","Outono","48"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Mamão","4.5","6.1","A semente de mamão (Carica papaya) é usada para cultivar árvores que produzem frutos grandes e suculentos. O mamão é valorizado por seu sabor doce e suas enzimas digestivas.","200","300","6-9 meses (para frutificação)","70-80","27","6.00","4","Outono","49"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Mamão","4.5","6.1","A semente de mamão (Carica papaya) é usada para cultivar árvores que produzem frutos grandes e suculentos. O mamão é valorizado por seu sabor doce e suas enzimas digestivas.","200","300","6-9 meses (para frutificação)","70-80","27","6.00","4","Outono","50"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Mamão","4.5","6.1","A semente de mamão (Carica papaya) é usada para cultivar árvores que produzem frutos grandes e suculentos. O mamão é valorizado por seu sabor doce e suas enzimas digestivas.","200","300","6-9 meses (para frutificação)","70-80","27","6.00","4","Outono","51"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Coco","4.5","6.1","Indisponivel","10","15","90-120","50-60","25.60","5.00","7","Verão","52"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Coco","4.5","6.1","Indisponivel","10","15","90-120","50-60","25.60","5.00","7","Verão","53"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Coco","4.5","6.1","Indisponivel","10","15","90-120","50-60","25.60","5.00","7","Verão","54"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Coco","4.5","6.1","Indisponivel","10","15","90-120","50-60","25.60","5.00","7","Verão","55"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Coco","4.5","6.1","Indisponivel","10","15","90-120","50-60","25.60","5.00","7","Verão","56"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Coco","4.5","6.1","Indisponivel","10","15","90-120","50-60","25.60","5.00","7","Verão","57"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Batata-Doce","4.5","6.1","A semente de batata doce (Ipomoea batatas) é usada para cultivar plantas que produzem raízes tuberosas doces e nutritivas. As batatas doces são consumidas em várias preparações culinárias.","30","40","90-120","70-80","5.00","1.20","6","Primavera","58"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Batata-Doce","4.5","6.1","A semente de batata doce (Ipomoea batatas) é usada para cultivar plantas que produzem raízes tuberosas doces e nutritivas. As batatas doces são consumidas em várias preparações culinárias.","30","40","90-120","70-80","5.00","1.20","6","Primavera","59"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Batata-Doce","4.5","6.1","A semente de batata doce (Ipomoea batatas) é usada para cultivar plantas que produzem raízes tuberosas doces e nutritivas. As batatas doces são consumidas em várias preparações culinárias.","30","40","90-120","70-80","5.00","1.20","6","Primavera","60"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Batata-Doce","4.5","6.1","A semente de batata doce (Ipomoea batatas) é usada para cultivar plantas que produzem raízes tuberosas doces e nutritivas. As batatas doces são consumidas em várias preparações culinárias.","30","40","90-120","70-80","5.00","1.20","6","Primavera","61"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Batata-Doce","4.5","6.1","A semente de batata doce (Ipomoea batatas) é usada para cultivar plantas que produzem raízes tuberosas doces e nutritivas. As batatas doces são consumidas em várias preparações culinárias.","30","40","90-120","70-80","5.00","1.20","6","Primavera","62"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Batata-Doce","4.5","6.1","A semente de batata doce (Ipomoea batatas) é usada para cultivar plantas que produzem raízes tuberosas doces e nutritivas. As batatas doces são consumidas em várias preparações culinárias.","30","40","90-120","70-80","5.00","1.20","6","Primavera","63"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Cacau ","4.5","6.1","A semente de cacau (Theobroma cacao) é usada para cultivar árvores que produzem frutos dos quais o chocolate é feito. As sementes de cacau são fermentadas e processadas para criar chocolate.","300","400","3-5 anos (para frutificação)","70-80","23.00","3.50","200","Primavera","64"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Cacau ","4.5","6.1","A semente de cacau (Theobroma cacao) é usada para cultivar árvores que produzem frutos dos quais o chocolate é feito. As sementes de cacau são fermentadas e processadas para criar chocolate.","300","400","3-5 anos (para frutificação)","70-80","23.00","3.50","200","Primavera","65"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Cacau ","4.5","6.1","A semente de cacau (Theobroma cacao) é usada para cultivar árvores que produzem frutos dos quais o chocolate é feito. As sementes de cacau são fermentadas e processadas para criar chocolate.","300","400","3-5 anos (para frutificação)","70-80","23.00","3.50","200","Primavera","66"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Cacau ","4.5","6.1","A semente de cacau (Theobroma cacao) é usada para cultivar árvores que produzem frutos dos quais o chocolate é feito. As sementes de cacau são fermentadas e processadas para criar chocolate.","300","400","3-5 anos (para frutificação)","70-80","23.00","3.50","200","Primavera","67"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Cacau ","4.5","6.1","A semente de cacau (Theobroma cacao) é usada para cultivar árvores que produzem frutos dos quais o chocolate é feito. As sementes de cacau são fermentadas e processadas para criar chocolate.","300","400","3-5 anos (para frutificação)","70-80","23.00","3.50","200","Primavera","68"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Cacau ","4.5","6.1","A semente de cacau (Theobroma cacao) é usada para cultivar árvores que produzem frutos dos quais o chocolate é feito. As sementes de cacau são fermentadas e processadas para criar chocolate.","300","400","3-5 anos (para frutificação)","70-80","23.00","3.50","200","Primavera","69"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Pimenta ","4.5","6.1","A semente de pimenta (Capsicum annuum) é usada para cultivar plantas que produzem frutos de diversas cores e sabores, desde suaves até picantes.","30","45","75-100","60-70","3.00","0.30","75","Verão","70"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Pimenta ","4.5","6.1","A semente de pimenta (Capsicum annuum) é usada para cultivar plantas que produzem frutos de diversas cores e sabores, desde suaves até picantes.","30","45","75-100","60-70","3.00","0.30","75","Verão","71"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Pimenta ","4.5","6.1","A semente de pimenta (Capsicum annuum) é usada para cultivar plantas que produzem frutos de diversas cores e sabores, desde suaves até picantes.","30","45","75-100","60-70","3.00","0.30","75","Verão","72"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Pimenta ","4.5","6.1","A semente de pimenta (Capsicum annuum) é usada para cultivar plantas que produzem frutos de diversas cores e sabores, desde suaves até picantes.","30","45","75-100","60-70","3.00","0.30","75","Verão","73"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Pimenta ","4.5","6.1","A semente de pimenta (Capsicum annuum) é usada para cultivar plantas que produzem frutos de diversas cores e sabores, desde suaves até picantes.","30","45","75-100","60-70","3.00","0.30","75","Verão","74"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Pimenta ","4.5","6.1","A semente de pimenta (Capsicum annuum) é usada para cultivar plantas que produzem frutos de diversas cores e sabores, desde suaves até picantes.","30","45","75-100","60-70","3.00","0.30","75","Verão","75"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Abacaxi ","4.5","6.1","A semente de abacaxi (Ananas comosus) é usada para cultivar plantas que produzem frutos tropicais suculentos e doces. Os abacaxis são conhecidos pelo sabor refrescante e são consumidos frescos ou em preparações culinárias. ","100","150","18-24 meses","70-80","38.99","5.99","9","Verão","76"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Abacaxi ","4.5","6.1","A semente de abacaxi (Ananas comosus) é usada para cultivar plantas que produzem frutos tropicais suculentos e doces. Os abacaxis são conhecidos pelo sabor refrescante e são consumidos frescos ou em preparações culinárias. ","100","150","18-24 meses","70-80","38.99","5.99","9","Verão","77"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Abacaxi ","4.5","6.1","A semente de abacaxi (Ananas comosus) é usada para cultivar plantas que produzem frutos tropicais suculentos e doces. Os abacaxis são conhecidos pelo sabor refrescante e são consumidos frescos ou em preparações culinárias. ","100","150","18-24 meses","70-80","38.99","5.99","9","Verão","78"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Abacaxi ","4.5","6.1","A semente de abacaxi (Ananas comosus) é usada para cultivar plantas que produzem frutos tropicais suculentos e doces. Os abacaxis são conhecidos pelo sabor refrescante e são consumidos frescos ou em preparações culinárias. ","100","150","18-24 meses","70-80","38.99","5.99","9","Verão","79"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Abacaxi ","4.5","6.1","A semente de abacaxi (Ananas comosus) é usada para cultivar plantas que produzem frutos tropicais suculentos e doces. Os abacaxis são conhecidos pelo sabor refrescante e são consumidos frescos ou em preparações culinárias. ","100","150","18-24 meses","70-80","38.99","5.99","9","Verão","80"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Abacaxi ","4.5","6.1","A semente de abacaxi (Ananas comosus) é usada para cultivar plantas que produzem frutos tropicais suculentos e doces. Os abacaxis são conhecidos pelo sabor refrescante e são consumidos frescos ou em preparações culinárias. ","100","150","18-24 meses","70-80","38.99","5.99","9","Verão","81"
"Brasil","AC","Equatorial","Jordão","1200328","Gleissolo Háplico ","Gengibre ","4.5","6.1","A semente de gengibre (Zingiber officinale) é usada para cultivar plantas que produzem rizomas subterrâneos aromáticos e picantes. O gengibre é valorizado por suas propriedades culinárias e medicinais.","20","30","240-300","70-80","6","1.99","4", "Verão","82"
"Brasil","AC","Equatorial","Manoel Urbano","1200336","Gleissolo Háplico ","Gengibre ","4.5","6.1","A semente de gengibre (Zingiber officinale) é usada para cultivar plantas que produzem rizomas subterrâneos aromáticos e picantes. O gengibre é valorizado por suas propriedades culinárias e medicinais.","20","30","240-300","70-80","6","1.99","4", "Verão","83"
"Brasil","AC","Equatorial","Marechal Thaumaturgo","1200344","Gleissolo Háplico ","Gengibre ","4.5","6.1","A semente de gengibre (Zingiber officinale) é usada para cultivar plantas que produzem rizomas subterrâneos aromáticos e picantes. O gengibre é valorizado por suas propriedades culinárias e medicinais.","20","30","240-300","70-80","6","1.99","4", "Verão","84"
"Brasil","AC","Equatorial","Mâncio Lima","1200351","Gleissolo Háplico ","Gengibre ","4.5","6.1","A semente de gengibre (Zingiber officinale) é usada para cultivar plantas que produzem rizomas subterrâneos aromáticos e picantes. O gengibre é valorizado por suas propriedades culinárias e medicinais.","20","30","240-300","70-80","6","1.99","4", "Verão","85"
"Brasil","AC","Equatorial","Porto Walter","1200393","Gleissolo Háplico ","Gengibre ","4.5","6.1","A semente de gengibre (Zingiber officinale) é usada para cultivar plantas que produzem rizomas subterrâneos aromáticos e picantes. O gengibre é valorizado por suas propriedades culinárias e medicinais.","20","30","240-300","70-80","6","1.99","4", "Verão","86"
"Brasil","AC","Equatorial","Rodrigues Alves","1200427","Gleissolo Háplico ","Gengibre ","4.5","6.1","A semente de gengibre (Zingiber officinale) é usada para cultivar plantas que produzem rizomas subterrâneos aromáticos e picantes. O gengibre é valorizado por suas propriedades culinárias e medicinais.","20","30","240-300","70-80","6","1.99","4", "Verão","87"
